================================================================================
  J/L/P 파일 중국어(한자) 문자 완전 비교 분석 보고서
  생성일시: 2026-04-22 00:36:16
================================================================================

[1/5] J파일 텍스트 추출 중...
  J 원본: 1,036,441자 / J 최종본: 1,038,941자

[2/5] L파일 텍스트 추출 중...
  L 원본: 628,016자 / L 수동완료: 629,360자

[3/5] P파일 텍스트 추출 중...
  P 파일: 313,122자
  P 대체파일 존재함, 추출 중...
  P 대체파일: 313,122자

[4/5] J파일 중국어 문자 비교 분석...

================================================================================
  [J파일] 중국어(한자) 문자 완전 비교 분석
================================================================================

원본 중국어 문자 종류: 5,475개
최종본 중국어 문자 종류: 5,475개
원본 중국어 문자 총 출현: 141,326회
최종본 중국어 문자 총 출현: 141,240회
출현 차이: -86회

--- 중국어 문자 종류 변화 ---
원본에만 있는 문자 (삭제됨): 0개
최종본에만 있는 문자 (추가됨): 0개
공통 문자: 5475개

--- 중국어 문자 출현 빈도 변화 (공통 문자) ---
문자   코드               원본      최종본       차이 상태      
  參  U+53C3            2        2       +0 동일
  擠  U+64E0            1        1       +0 동일
  矍  U+77CD            5        5       +0 동일
  犯  U+72AF           55       55       +0 동일
  鹩  U+9E69            2        2       +0 동일
  鳍  U+9CCD            4        4       +0 동일
  吐  U+5410           13       13       +0 동일
  輸  U+8F38            3        3       +0 동일
  瓠  U+74E0            5        5       +0 동일
  肤  U+80A4            8        8       +0 동일
  賫  U+8CEB            1        1       +0 동일
  柏  U+67CF            6        6       +0 동일
  瞿  U+77BF            2        2       +0 동일
  旬  U+65EC            4        4       +0 동일
  退  U+9000           43       43       +0 동일
  綬  U+7DAC            1        1       +0 동일
  漏  U+F94E            3        3       +0 동일
  膿  U+81BF            1        1       +0 동일
  泊  U+6CCA            4        4       +0 동일
  憬  U+61AC            3        3       +0 동일
  俯  U+4FEF            3        3       +0 동일
  漫  U+6F2B            4        4       +0 동일
  锌  U+950C            1        1       +0 동일
  府  U+5E9C           18       18       +0 동일
  契  U+5951            6        6       +0 동일
  猿  U+733F            5        5       +0 동일
  繳  U+7E73            1        1       +0 동일
  彼  U+5F7C            9        9       +0 동일
  烷  U+70F7           16       16       +0 동일
  膀  U+8180           11       11       +0 동일
  枣  U+67A3           11       11       +0 동일
  胸  U+80F8           17       17       +0 동일
  垠  U+57A0            2        2       +0 동일
  厪  U+53AA            1        1       +0 동일
  岕  U+5C95            2        2       +0 동일
  麋  U+9E8B            1        1       +0 동일
  亏  U+4E8F            7        7       +0 동일
  臺  U+81FA           12       12       +0 동일
  瞧  U+77A7            7        7       +0 동일
  犋  U+728B            3        3       +0 동일
  衢  U+8862            2        2       +0 동일
  跃  U+8DC3           10       10       +0 동일
  唔  U+5514            1        1       +0 동일
  怒  U+6012           13       13       +0 동일
  贫  U+8D2B           49       49       +0 동일
  鸰  U+9E30            2        2       +0 동일
  界  U+754C          105      105       +0 동일
  鳕  U+9CD5            1        1       +0 동일
  絃  U+7D43            1        1       +0 동일
  剽  U+527D            1        1       +0 동일
  车  U+8F66          152      152       +0 동일
  鳩  U+9CE9            3        3       +0 동일
  嶕  U+5D95            4        4       +0 동일
  瘢  U+7622            3        3       +0 동일
  揪  U+63EA           25       25       +0 동일
  拔  U+62D4           23       23       +0 동일
  跔  U+8DD4            2        2       +0 동일
  猫  U+732B           17       17       +0 동일
  廐  U+5ED0            1        1       +0 동일
  濃  U+6FC3            2        2       +0 동일
  宁  U+5B81           18       18       +0 동일
  芯  U+82AF            6        6       +0 동일
  绥  U+7EE5            3        3       +0 동일
  還  U+9084            2        2       +0 동일
  丙  U+4E19            9        9       +0 동일
  巴  U+5DF4           68       68       +0 동일
  庄  U+5E84           12       12       +0 동일
  沦  U+6CA6            5        5       +0 동일
  蒿  U+84BF            1        1       +0 동일
  塌  U+584C            2        2       +0 동일
  桃  U+6843           12       12       +0 동일
  仩  U+4EE9            2        2       +0 동일
  桀  U+6840           10       10       +0 동일
  內  U+5167           18       18       +0 동일
  車  U+F902            1        1       +0 동일
  渝  U+6E1D            3        3       +0 동일
  簸  U+7C38            2        2       +0 동일
  壕  U+58D5            2        2       +0 동일
  份  U+4EFD           12       12       +0 동일
  音  U+97F3          158      158       +0 동일
  阀  U+9600           14       14       +0 동일
  殴  U+6BB4            2        2       +0 동일
  鞅  U+9785            1        1       +0 동일
  九  U+4E5D          129      129       +0 동일
  谐  U+8C10           14       14       +0 동일
  镶  U+9576            4        4       +0 동일
  尝  U+5C1D            7        7       +0 동일
  率  U+F961            6        6       +0 동일
  容  U+5BB9           80       80       +0 동일
  改  U+6539           59       59       +0 동일
  王  U+738B           72       72       +0 동일
  蹙  U+8E59            2        2       +0 동일
  硬  U+786C           27       27       +0 동일
  藏  U+85CF           33       33       +0 동일
  奚  U+595A            1        1       +0 동일
  隔  U+9694           21       21       +0 동일
  蕴  U+8574            2        2       +0 동일
  路  U+F937            1        1       +0 동일
  愕  U+6115            1        1       +0 동일
  际  U+9645           35       35       +0 동일
  邻  U+90BB           20       20       +0 동일
  眷  U+7737           21       21       +0 동일
  趼  U+8DBC            7        7       +0 동일
  錈  U+9308            1        1       +0 동일
  棱  U+68F1            8        8       +0 동일
  坚  U+575A           99       99       +0 동일
  廳  U+5EF3            1        1       +0 동일
  迷  U+8FF7           12       12       +0 동일
  杂  U+6742           25       25       +0 동일
  巯  U+5DEF            1        1       +0 동일
  驗  U+9A57            2        2       +0 동일
  鸭  U+9E2D           23       23       +0 동일
  須  U+9808            1        1       +0 동일
  踖  U+8E16            3        3       +0 동일
  字  U+5B57          100      100       +0 동일
  说  U+8BF4          201      201       +0 동일
  蔓  U+8513            2        2       +0 동일
  缪  U+7F2A            2        2       +0 동일
  殿  U+6BBF           19       19       +0 동일
  绵  U+7EF5            1        1       +0 동일
  炮  U+70AE           17       17       +0 동일
  蠶  U+8836            1        1       +0 동일
  馬  U+99AC           26       26       +0 동일
  哺  U+54FA            1        1       +0 동일
  哟  U+54DF            1        1       +0 동일
  谋  U+8C0B           14       14       +0 동일
  絳  U+7D73            1        1       +0 동일
  样  U+6837           70       70       +0 동일
  枚  U+679A            3        3       +0 동일
  癧  U+7667            1        1       +0 동일
  熸  U+71B8            2        2       +0 동일
  赵  U+8D75            6        6       +0 동일
  肠  U+80A0           26       26       +0 동일
  吓  U+5413            8        8       +0 동일
  鄧  U+9127            1        1       +0 동일
  窃  U+7A83            3        3       +0 동일
  疑  U+7591           32       32       +0 동일
  刮  U+522E            1        1       +0 동일
  洳  U+6D33            2        2       +0 동일
  窈  U+7A88            2        2       +0 동일
  综  U+7EFC            7        7       +0 동일
  酶  U+9176           22       22       +0 동일
  醋  U+918B            4        4       +0 동일
  台  U+53F0           49       49       +0 동일
  扩  U+6269            7        7       +0 동일
  玦  U+73A6            2        2       +0 동일
  歲  U+6B72            1        1       +0 동일
  姻  U+59FB            7        7       +0 동일
  務  U+52D9            7        7       +0 동일
  金  U+91D1          723      723       +0 동일
  助  U+52A9           45       45       +0 동일
  撧  U+64A7            1        1       +0 동일
  齑  U+9F51            8        8       +0 동일
  勣  U+52E3            2        2       +0 동일
  漿  U+6F3F            6        6       +0 동일
  連  U+9023            6        6       +0 동일
  绝  U+7EDD          158      158       +0 동일
  嬌  U+5B0C            2        2       +0 동일
  屠  U+5C60            4        4       +0 동일
  氨  U+6C28           18       18       +0 동일
  姐  U+59D0           27       27       +0 동일
  靶  U+9776            5        5       +0 동일
  狐  U+72D0            7        7       +0 동일
  拈  U+62C8            2        2       +0 동일
  蟻  U+87FB            1        1       +0 동일
  唯  U+552F            8        8       +0 동일
  炒  U+7092            8        8       +0 동일
  舰  U+8230           32       32       +0 동일
  电  U+7535          367      367       +0 동일
  漖  U+6F16            3        3       +0 동일
  碎  U+788E           16       16       +0 동일
  砷  U+7837            1        1       +0 동일
  药  U+836F          121      121       +0 동일
  樂  U+6A02            3        3       +0 동일
  扔  U+6254            2        2       +0 동일
  霄  U+9704            6        6       +0 동일
  擅  U+64C5            2        2       +0 동일
  譎  U+8B4E            1        1       +0 동일
  铢  U+94E2            4        4       +0 동일
  繼  U+7E7C            1        1       +0 동일
  舍  U+820D           28       28       +0 동일
  峤  U+5CE4            2        2       +0 동일
  橛  U+6A5B            4        4       +0 동일
  卜  U+535C           13       13       +0 동일
  调  U+8C03           63       63       +0 동일
  蛉  U+86C9            1        1       +0 동일
  駕  U+99D5            1        1       +0 동일
  説  U+8AAC            3        3       +0 동일
  倻  U+503B            2        2       +0 동일
